category,title,price,link
General Pain Relief,Morrisons Ibuprofen 200mg Capsules,£0.80,https://groceries.morrisons.com/products/morrisons-ibuprofen-200mg-capsules/113550332
General Pain Relief,Morrisons Ibuprofen Caplets,£0.55,https://groceries.morrisons.com/products/morrisons-ibuprofen-caplets/112951581
General Pain Relief,Nurofen Caplets 8s,£1.00,https://groceries.morrisons.com/products/nurofen-caplets-8s/113639441
Sustainables and Reusables,Totm Reusable Menstrual Cup Size 2,£18.00,https://groceries.morrisons.com/products/totm-reusable-menstrual-cup-size-2/112252472
Sustainables and Reusables,Bodyform Intimawear Cotton Hipster Underwear Black Size S,£16.00,https://groceries.morrisons.com/products/bodyform-intimawear-cotton-hipster-underwear-black-size-s/112867186
Sustainables and Reusables,Tena Men Premium Fit Incontinence Pants Medium,£8.50,https://groceries.morrisons.com/products/tena-men-premium-fit-incontinence-pants-medium/112845577
Sustainables and Reusables,Wuka Basics Hipster Medium Flow Period Pants Size L,£10.00,https://groceries.morrisons.com/products/wuka-basics-hipster-medium-flow-period-pants-size-l/112310855
Sustainables and Reusables,Wuka Basics Hipster Medium Flow Period Pants Size M,£10.00,https://groceries.morrisons.com/products/wuka-basics-hipster-medium-flow-period-pants-size-m/112310821
Sustainables and Reusables,Bodyform Intimawear Period Pants Washable Underwear Black Size M,£16.00,https://groceries.morrisons.com/products/bodyform-intimawear-period-pants-washable-underwear-black-size-m/112845631
Sustainables and Reusables,Bodyform Intimawear Washable Cotton Period Pants Underwear Size L,£16.00,https://groceries.morrisons.com/products/bodyform-intimawear-washable-cotton-period-pants-underwear-size-l/112846051
Intimate Wash & Wipes,Femfresh Natural Balance Daily Intimate Wash,£2.75,https://groceries.morrisons.com/products/femfresh-natural-balance-daily-intimate-wash/102324655
Intimate Wash & Wipes,Femfresh Intimate Daily Deodorant,£3.00,https://groceries.morrisons.com/products/femfresh-intimate-daily-deodorant/100704232
Intimate Wash & Wipes,Femfresh Intimate Skin Care Soothing Wash,£2.75,https://groceries.morrisons.com/products/femfresh-intimate-skin-care-soothing-wash/111841945
Intimate Wash & Wipes,Femfresh Intimate Hygiene Large Feminine Freshness Wipes,£2.75,https://groceries.morrisons.com/products/femfresh-intimate-hygiene-large-feminine-freshness-wipes/102325800
Intimate Wash & Wipes,WaterWipes Adult Care Incontinence Sensitive Wipes 30 pack,£2.99,https://groceries.morrisons.com/products/waterwipes-adult-care-incontinence-sensitive-wipes-30-pack/114448663
Applicator,Tampax Pearl Compak Tampons Regular,£3.40,https://groceries.morrisons.com/products/tampax-pearl-compak-tampons-regular/112697691
Applicator,Tampax Pearl Compak Super Tampons,£3.40,https://groceries.morrisons.com/products/tampax-pearl-compak-super-tampons/112697797
Applicator,Tampax Pearl Compak Super Plus Tampons With Applicator,£3.40,https://groceries.morrisons.com/products/tampax-pearl-compak-super-plus-tampons-with-applicator/112697746
Applicator,Tampax Pearl Super Plus Tampons with Applicator 18 pack,£3.40,https://groceries.morrisons.com/products/tampax-pearl-super-plus-tampons-with-applicator-18-pack/101779957
Applicator,Tampax Pearl Regular Tampons with Applicator 18 pack,£3.40,https://groceries.morrisons.com/products/tampax-pearl-regular-tampons-with-applicator-18-pack/109671692
Applicator,Tampax Pearl Compak Regular Tampons Applicator 8 pack,£1.20,https://groceries.morrisons.com/products/tampax-pearl-compak-regular-tampons-applicator-8-pack/110431602
Applicator,Tampax Super Tampons with Cardboard Applicator 20 pack,£2.00,https://groceries.morrisons.com/products/tampax-super-tampons-with-cardboard-applicator-20-pack/105423421
Applicator,Totm Organic Cotton Applicator Tampons Super,£3.20,https://groceries.morrisons.com/products/totm-organic-cotton-applicator-tampons-super/112252288
Applicator,Totm Organic Cotton Applicator Tampons Regular,£3.20,https://groceries.morrisons.com/products/totm-organic-cotton-applicator-tampons-regular/112252181
